"rownames","affairs","gender","age","yearsmarried","children","religiousness","education","occupation","rating","has_affair","has_affair_num","affair_cat","rating_factor","religious_factor","happy_bin"
4,0,"Nam",37,10,"Không có con",3,18,7,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
5,0,"Nữ",27,4,"Không có con",4,14,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
11,0,"Nữ",32,15,"Có con",1,12,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","1-Không","Hạnh phúc"
16,0,"Nam",57,15,"Có con",5,18,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
23,0,"Nam",22,0.75,"Không có con",2,17,6,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
29,0,"Nữ",32,1.5,"Không có con",2,17,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
44,0,"Nữ",22,0.75,"Không có con",2,12,1,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
45,0,"Nam",57,15,"Có con",2,14,4,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
47,0,"Nữ",32,15,"Có con",4,16,1,2,"Không",0,"Không (0 lần)","2-Bất hạnh","4-Tôn giáo","Bất hạnh"
49,0,"Nam",22,1.5,"Không có con",4,14,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
50,0,"Nam",37,15,"Có con",2,20,7,2,"Không",0,"Không (0 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
55,0,"Nam",27,4,"Có con",4,18,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
64,0,"Nam",47,15,"Có con",5,17,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
80,0,"Nữ",22,1.5,"Không có con",2,17,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
86,0,"Nữ",27,4,"Không có con",4,14,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
93,0,"Nữ",37,15,"Có con",1,17,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
108,0,"Nữ",37,15,"Có con",2,18,4,3,"Không",0,"Không (0 lần)","3-Trung bình","2-Hơi tôn giáo","Bất hạnh"
114,0,"Nữ",22,0.75,"Không có con",3,16,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
115,0,"Nữ",22,1.5,"Không có con",2,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
116,0,"Nữ",27,10,"Có con",2,14,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
123,0,"Nữ",22,1.5,"Không có con",2,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
127,0,"Nữ",22,1.5,"Không có con",2,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
129,0,"Nữ",27,10,"Có con",4,16,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
134,0,"Nữ",32,10,"Có con",3,14,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
137,0,"Nam",37,4,"Có con",2,20,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
139,0,"Nữ",22,1.5,"Không có con",2,18,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
147,0,"Nữ",27,7,"Không có con",4,16,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
151,0,"Nam",42,15,"Có con",5,20,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
153,0,"Nam",27,4,"Có con",3,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
155,0,"Nữ",27,4,"Có con",3,17,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
162,0,"Nam",42,15,"Có con",4,20,6,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
163,0,"Nữ",22,1.5,"Không có con",3,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
165,0,"Nam",27,0.417,"Không có con",4,17,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
168,0,"Nữ",42,15,"Có con",5,14,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
170,0,"Nam",32,4,"Có con",1,18,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","1-Không","Hạnh phúc"
172,0,"Nữ",22,1.5,"Không có con",4,16,5,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
184,0,"Nữ",42,15,"Có con",3,12,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
187,0,"Nữ",22,4,"Không có con",4,17,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
192,0,"Nam",22,1.5,"Có con",1,14,3,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
194,0,"Nữ",22,0.75,"Không có con",3,16,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
210,0,"Nam",32,10,"Có con",5,20,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
217,0,"Nam",52,15,"Có con",5,18,6,3,"Không",0,"Không (0 lần)","3-Trung bình","5-Rất tôn giáo","Bất hạnh"
220,0,"Nữ",22,0.417,"Không có con",5,14,1,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
224,0,"Nữ",27,4,"Có con",2,18,6,1,"Không",0,"Không (0 lần)","1-Rất bất hạnh","2-Hơi tôn giáo","Bất hạnh"
227,0,"Nữ",32,7,"Có con",5,17,5,3,"Không",0,"Không (0 lần)","3-Trung bình","5-Rất tôn giáo","Bất hạnh"
228,0,"Nam",22,4,"Không có con",3,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
239,0,"Nữ",27,7,"Có con",4,18,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
241,0,"Nữ",42,15,"Có con",2,18,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
245,0,"Nam",27,1.5,"Có con",4,16,3,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
249,0,"Nam",42,15,"Có con",2,20,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
262,0,"Nữ",22,0.75,"Không có con",5,14,3,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
265,0,"Nam",32,7,"Có con",2,20,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
267,0,"Nam",27,4,"Có con",5,20,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
269,0,"Nam",27,10,"Có con",4,20,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
271,0,"Nam",22,4,"Không có con",1,18,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
277,0,"Nữ",37,15,"Có con",4,14,3,1,"Không",0,"Không (0 lần)","1-Rất bất hạnh","4-Tôn giáo","Bất hạnh"
290,0,"Nam",22,1.5,"Có con",5,16,4,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
292,0,"Nữ",37,15,"Có con",4,17,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
293,0,"Nữ",27,0.75,"Không có con",4,17,5,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
295,0,"Nam",32,10,"Có con",4,20,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
299,0,"Nữ",47,15,"Có con",5,14,7,2,"Không",0,"Không (0 lần)","2-Bất hạnh","5-Rất tôn giáo","Bất hạnh"
320,0,"Nam",37,10,"Có con",3,20,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","3-Trung bình","Hạnh phúc"
321,0,"Nữ",22,0.75,"Không có con",2,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
324,0,"Nam",27,4,"Không có con",2,18,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
334,0,"Nam",32,7,"Không có con",4,20,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
351,0,"Nam",42,15,"Có con",2,17,3,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
355,0,"Nam",37,10,"Có con",4,20,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","4-Tôn giáo","Hạnh phúc"
361,0,"Nữ",47,15,"Có con",3,17,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
362,0,"Nữ",22,1.5,"Không có con",5,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
366,0,"Nữ",27,1.5,"Không có con",2,16,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
370,0,"Nữ",27,4,"Không có con",3,17,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
374,0,"Nữ",32,10,"Có con",5,14,4,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","5-Rất tôn giáo","Hạnh phúc"
378,0,"Nữ",22,0.125,"Không có con",2,12,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
381,0,"Nam",47,15,"Có con",4,14,4,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
382,0,"Nam",32,15,"Có con",1,14,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","1-Không","Hạnh phúc"
383,0,"Nam",27,7,"Có con",4,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
384,0,"Nữ",22,1.5,"Có con",3,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
400,0,"Nam",27,4,"Có con",3,17,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
403,0,"Nữ",22,1.5,"Không có con",3,16,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
409,0,"Nam",57,15,"Có con",2,14,7,2,"Không",0,"Không (0 lần)","2-Bất hạnh","2-Hơi tôn giáo","Bất hạnh"
412,0,"Nam",17.5,1.5,"Có con",3,18,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","3-Trung bình","Hạnh phúc"
413,0,"Nam",57,15,"Có con",4,20,6,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
416,0,"Nữ",22,0.75,"Không có con",2,16,3,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","2-Hơi tôn giáo","Hạnh phúc"
418,0,"Nam",42,4,"Không có con",4,17,3,3,"Không",0,"Không (0 lần)","3-Trung bình","4-Tôn giáo","Bất hạnh"
422,0,"Nữ",22,1.5,"Có con",4,12,1,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
435,0,"Nữ",22,0.417,"Không có con",1,17,6,4,"Không",0,"Không (0 lần)","4-Hạnh phúc","1-Không","Hạnh phúc"
439,0,"Nữ",32,15,"Có con",4,17,5,5,"Không",0,"Không (0 lần)","5-Rất hạnh phúc","4-Tôn giáo","Hạnh phúc"
445,0,"Nữ",27,1.5,"Không có con",3,18,5,2,"Không",0,"Không (0 lần)","2-Bất hạnh","3-Trung bình","Bất hạnh"
